Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"Contracted forms of articles after à and de to agree with gender and number: aux - at the, to the, in the, on the (pl)",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,aux,MFL,103,,,,,,,,Y,,,,,,,,,,,
"Contracted forms of articles after à and de to agree with gender and number: de**/d'** - of, from",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,de**/d'**,MFL,103,,,,,,,,Y,,,,,,,,,,,
"Contracted forms of articles after à and de to agree with gender and number: du**/de l'** - of the, from (the) (m)",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,du**/de l'**,MFL,103,,,,,,,,Y,,,,,,,,,,,
"Contracted forms of articles after à and de to agree with gender and number: de la**/de l'** - of the, from (the) (f)",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,de la**/de l'**,MFL,103,,,,,,,,Y,,,,,,,,,,,
"Contracted forms of articles after à and de to agree with gender and number: des** - of the, from (the) (pl)",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,des**,MFL,103,,,,,,,,Y,,,,,,,,,,,
[READING ONLY] Derivational morphology: Ordinal numbers created by adding -ième (or by dropping -e and adding -ième) to cardinal numbers: deux - two,French,Higher,,[READING ONLY] Derivational morphology: Ordinal numbers,deux,MFL,103,,,,,,,,Y,,,,,,,,,,,
[READING ONLY] Derivational morphology: Ordinal numbers created by adding -ième (or by dropping -e and adding -ième) to cardinal numbers: quatre - four,French,Higher,,[READING ONLY] Derivational morphology: Ordinal numbers,quatre,MFL,103,,,,,,,,Y,,,,,,,,,,,
This is the dictionary form or base word to which the grammar rule applies.,French,Higher,,Required Words,,MFL,104,,,,,,,,,Y,,,,,,,,,,
"Words tagged Y† require a space on the list, but the choice of exemplar word is at the discretion of the list creator.",French,Higher,,Required Words,,MFL,104,,,,,,,,,Y,,,,,,,,,,
"Derivational morphology: Adding in- or im- to adjectives, adverbs, and nouns, only where the English equivalent is un- or in-, or means 'opposite of'",French,Higher,,Required Words,Derivational morphology: Adding in- or im-,MFL,104,,,,,,,,,Y,,,,,,,,,,
également: equally (adv),French,Higher,,Required Words,Derivational morphology: Adding in- or im-,MFL,104,,,,,,,,Y,,,,,,,,,,,
"sécurité: security, safety (n)",French,Higher,,Required Words,Derivational morphology: Adding in- or im-,MFL,104,,,,,,,,Y,,,,,,,,,,,
possible: possible (adj),French,Higher,,Required Words,Derivational morphology: Adding in- or im-,MFL,104,,,,,,,,Y,,,,,,,,,,,
"Derivational morphology: Adjectives created by adding -able or -eable to the verb stem, only where the English equivalent is -able or -ible",French,Higher,,Required Words,Derivational morphology: Adjectives (-able/-eable),MFL,104,,,,,,,,,Y,,,,,,,,,,
"gagner: (to) win, winning (v)",French,Higher,,Required Words,Derivational morphology: Adjectives (-able/-eable),MFL,104,,,,,,,,Y,,,,,,,,,,,
"changer: (to) change, changing (v)",French,Higher,,Required Words,Derivational morphology: Adjectives (-able/-eable),MFL,104,,,,,,,,Y,,,,,,,,,,,
"Derivational morphology: Nouns created by adding -ion or -ation to the verb stem, only where the English equivalent is -ion or -ation",French,Higher,,Required Words,Derivational morphology: Nouns (-ion/-ation),MFL,104,,,,,,,,,Y,,,,,,,,,,
"progresser: (to) progress, progressing (v)",French,Higher,,Required Words,Derivational morphology: Nouns (-ion/-ation),MFL,104,,,,,,,,Y,,,,,,,,,,,
"continuer: (to) continue, continuing (v)",French,Higher,,Required Words,Derivational morphology: Nouns (-ion/-ation),MFL,104,,,,,,,,Y,,,,,,,,,,,
"Derivational morphology: Adverbs ending in -ment, only where the English equivalent is -ly, created by adding -ment to the feminine form of adjectives:",French,Higher,,Required Words,Derivational morphology: Adverbs (-ment from feminine adjective),MFL,104,,,,,,,,,Y,,,,,,,,,,
actuel: current (m) (adv),French,Higher,,Required Words,Derivational morphology: Adverbs (-ment from feminine adjective),MFL,104,,,,,,,,Y,,,,,,,,,,,
"Derivational morphology: Adverbs ending in -ment, only where the English equivalent is -ly, created by dropping -ant(e) /-ent(e) from an adjective and adding -amment /-emment",French,Higher,,Required Words,Derivational morphology: Adverbs (-amment/-emment),MFL,105,,,,,,,,,Y,,,,,,,,,,
courant: common (m) (adj),French,Higher,,Required Words,Derivational morphology: Adverbs (-amment/-emment),MFL,105,,,,,,,,Y,,,,,,,,,,,
récent: recent (m) (adv),French,Higher,,Required Words,Derivational morphology: Adverbs (-amment/-emment),MFL,105,,,,,,,,Y,,,,,,,,,,,
Derivational morphology: Agent nouns created by adding -eur or -ateur to a verb stem,French,Higher,,Required Words,Derivational morphology: Agent nouns (-eur/-ateur),MFL,105,,,,,,,,,Y,,,,,,,,,,
"porter: (to) carry, wear | carrying, wearing (v)",French,Higher,,Required Words,Derivational morphology: Agent nouns (-eur/-ateur),MFL,105,,,,,,,,Y,,,,,,,,,,,
finir: (to) finish | finishing (v),French,Higher,,Required Words,Derivational morphology: Agent nouns (-eur/-ateur),MFL,105,,,,,,,,Y,,,,,,,,,,,
dans: in (prep),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
"animal: animal, pet (n)",French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
midi: noon (n),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
deux: two (num),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
je: I (subj) (pron),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
gauche: left (adj),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
tu: you (subj) (sing informal) (pron),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
nous: we (subj) (pron),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
"timide: timid, shy, bashful (adj)",French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
"écrire: (to) write, writing (v)",French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
"enfant: child (m, f) (n)",French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
non: no (interj),French,Higher,,Required Words,SSCs,MFL,105,,,,,,,,Y,,,,,,,,,,,
train: train (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
tête: head (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
vrai: true (adj),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
"voir: (to) see, seeing (v)",French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
"chercher: (to) look for, looking for (v)",French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
ici: here (adv),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
question: question (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
jour: day (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
attention !: watch out! (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
bien: well (adv),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
heure: hour (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
"temps: time, weather (n)",French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
faim: hunger (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
"nom: full name, surname, name (n)",French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
un: one (num),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
ligne: line (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
rue: street (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
cœur: heart (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
photo: photo (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
porte: door (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
maison: house (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
thé: tea (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
fille: girl (n),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
"taille: size, height (n)",French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
y: there (pron),French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
"envoyer: (to) send, sending (v)",French,Higher,,Required Words,SSCs,MFL,106,,,,,,,,Y,,,,,,,,,,,
"The dictionary form (or base word) and the forms that would have to be listed in the Vocabulary List by the awarding bodies because either the form is irregular, or the grammar is not listed in the grammar annex.",French,Foundation,,Optional Words,,MFL,108,,,,,,,,,Y,,,,,,,,,,
"Words tagged N are irregular words in the 2000. List creators may include these words, if desired.",French,Foundation,,Optional Words,,MFL,108,,,,,,,,,Y,,,,,,,,,,
officiel: official (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
officielle: official (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
professionnel: professional (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
professionnelle: professional (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
industriel: manufacturer (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
industrielle: manufacturer (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
criminel: criminal (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
criminelle: criminal (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
intellectuel: intellectual (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
intellectuelle: intellectual (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
gros*: fat one (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
grosse*: fat one (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
conseiller: councillor (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
conseillère: councillor (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
premier**: first one (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
"première: first one (f), year 12 (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
dernier: last one (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
dernière: last one (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
"étranger: foreigner, stranger (m), abroad (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
"étrangère: foreigner, stranger (f) (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
policier: policeman (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
policière: policewoman (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
"prisonnier: prisoner, captive (m) (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
"prisonnière: prisoner, captive (f) (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
religieux: religious person (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
"religieuse: religious person (f), nun (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,108,,,,,,,,,Y,,,,,,,,,,
nouveau*: new one (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
nouvelle*: new one (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
chef: boss (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
cheffe: boss (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"vieux*: old one (m), old person (m) (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"vieille*: old one (f), old person (f) (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"maître: schoolteacher, master, owner (m) (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"maîtresse: schoolteacher, master, owner (f) (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
fou*: madman (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
folle*: madwoman (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
héros: hero (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
héroïne: hero (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
actif: worker (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
active: worker(f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"époux: spouse (m), husband (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"épouse: spouse (f), wife (n)",French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
Juif: Jewish person (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
Juive: Jewish person (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
administratif: administrator (m) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
administrative: administrator (f) (n),French,Foundation,,Optional Words,Feminine nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"madame: Mrs, Ms, (sing), madam, lady (n)",French,Foundation,,Optional Words,Plural nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"mesdames: madams, ladies (n)",French,Foundation,,Optional Words,Plural nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"monsieur: Sir, Mr, (sing), gentleman (n)",French,Foundation,,Optional Words,Plural nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
"messieurs: gentlemen, Sirs (n)",French,Foundation,,Optional Words,Plural nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
œil: eye (n),French,Foundation,,Optional Words,Plural nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
yeux: eyes (n),French,Foundation,,Optional Words,Plural nouns: irregular,MFL,109,,,,,,,,,Y,,,,,,,,,,
principal: head teacher (m) (Part of Speech: n),French,Foundation,,Optional Words,Plural nouns: irregular,MFL,110,,,,,,,,,,,,,,,,,,,
principaux: head teachers (m/mixed gender pl) (Part of Speech: n),French,Foundation,,Optional Words,Plural nouns: irregular,MFL,110,,,,,,,,,,,,,,,,,,,
local: premises (sing) (Part of Speech: n),French,Foundation,,Optional Words,Plural nouns: irregular,MFL,110,,,,,,,,,,,,,,,,,,,
locaux: premises (pl) (Part of Speech: n),French,Foundation,,Optional Words,Plural nouns: irregular,MFL,110,,,,,,,,,,,,,,,,,,,
"capital: capital, assets, means (sing) (Part of Speech: n)",French,Foundation,,Optional Words,Plural nouns: irregular,MFL,110,,,,,,,,,,Y,Y,,,,Y,Y,,,
"capitaux: capital, assets, means (pl) (Part of Speech: n)",French,Foundation,,Optional Words,Plural nouns: irregular,MFL,110,,,,,,,,,,Y,Y,,,,Y,Y,,,
